name,opt,-O3
arith_rgb_to_gray,canon,24232.5
arith_rgb_to_gray,canon+eqsat,20292.5
arith_rgb_to_gray,eqsat+canon,20464.0
arith_rgb_to_gray,noopt,24358.0
arith_rgb_to_gray,eqsat,21414.0
